Created,User Name,Page Name,state,state_code,gov_party,state_pop_2010,total_daily_posts,daily_positive_eng,daily_negative_eng,daily_total_interactions,daily_comments,daily_shares,total_confirmed,total_deaths
2020-10-13,statehealthin,Indiana Department of Health,Indiana,IN,republican,6691878,2,177,56,548,192,123,1549,27
2020-10-13,texasdshs,Texas Department of State Health Services,Texas,TX,republican,28701845,2,274,4,869,401,190,5946,89
2020-10-13,tndeptofhealth,Tennessee Department of Health,Tennessee,TN,republican,6770010,6,375,98,1086,178,435,1147,23
2020-10-13,utahdepofhealth,Utah Department of Health,Utah,UT,republican,3161105,1,33,0,77,38,6,987,0
2020-10-13,vdhgov,Virginia Department of Health,Virginia,VA,democratic,8517685,3,459,0,486,8,19,1235,11
2020-10-13,wadepthealth,Washington State Department of Health,Washington,WA,democratic,7535591,5,147,24,390,202,17,719,4
2020-10-13,wdhphep,Wyoming Department of Health - PHEP,Wyoming,WY,republican,577737,2,6,2,14,0,6,162,3
2020-10-13,wv.dhhr,WV Department of Health & Human Resources,West Virginia,WV,republican,1805832,14,73,28,310,17,192,276,2
2020-10-14,alabamapublichealth,Alabama Public Health,Alabama,AL,republican,4887871,5,44,5,142,3,90,1224,41
2020-10-14,alaska.dhss,Alaska Health and Social Services,Alaska,AK,republican,737438,8,941,70,1262,115,136,168,4
2020-10-14,arhealthdept,Arkansas Department of Health,Arkansas,AR,republican,3013825,2,51,48,565,350,116,1079,23
2020-10-14,capublichealth,California Department of Public Health,California,CA,democratic,39557045,2,81,15,135,6,33,3961,85
2020-10-14,cdphe,Colorado Department of Public Health and Environment,Colorado,CO,democratic,5695564,5,302,103,1015,421,189,692,7
2020-10-14,ctpublichealth,Connecticut Department of Public Health,Connecticut,CT,democratic,3572665,2,26,3,62,3,30,164,4
2020-10-14,dchealth.dc.gov,DC Health,District of Columbia,DC,democratic,702455,6,3,0,3,0,0,64,1
2020-10-14,depublichealth,Delaware Division of Public Health - DPH,Delaware,DE,democratic,967171,3,14,2,22,0,6,71,1
2020-10-14,dhswi,Wisconsin Department of Health Services,Wisconsin,WI,democratic,5813568,6,766,573,2645,716,590,3107,24
2020-10-14,fldepartmentofhealth,Florida Department of Health (DOH),Florida,FL,republican,21299325,1,22,0,34,1,11,2883,64
2020-10-14,gadph,Georgia Department of Public Health,Georgia,GA,republican,10519475,1,56,0,121,51,14,1297,16
2020-10-14,hawaiidoh,Hawaii State Department of Health,Hawaii,HI,democratic,1420491,1,1,0,4,0,3,99,10
2020-10-14,healthri,Rhode Island Department of Health,Rhode Island,RI,democratic,1057315,13,381,5,468,16,66,204,8
2020-10-14,healthvermont,Vermont Department of Health,Vermont,VT,republican,626299,3,1015,8,1557,129,405,3,0
2020-10-14,healthylivingmo,Missouri Department of Health and Senior Services,Missouri,MO,republican,6126452,5,291,40,717,305,81,4418,105
2020-10-14,healthyms,Mississippi State Department of Health,Mississippi,MS,republican,2986530,3,216,126,974,281,351,876,25
2020-10-14,idahohealthandwelfare,Idaho Department of Health and Welfare,Idaho,ID,republican,1754208,6,57,21,125,12,35,645,4
2020-10-14,idph.illinois,Illinois Department of Public Health (IDPH),Illinois,IL,democratic,12741080,2,289,99,1014,304,322,2866,47
2020-10-14,iowadepartmentofpublichealth,Iowa Department of Public Health,Iowa,IA,republican,3156145,3,53,1,83,18,11,1482,14
2020-10-14,kypublichealth,Kentucky Department for Public Health,Kentucky,KY,democratic,4468402,1,2,0,8,1,5,1322,7
2020-10-14,ladepthealth,Louisiana Department of Health,Louisiana,LA,democratic,4659978,2,22,9,64,2,31,880,16
2020-10-14,mdhealthdept,Maryland Department of Health,Maryland,MD,republican,6042718,1,14,0,26,1,11,575,10
2020-10-14,michiganhhs,Michigan Department of Health and Human Services,Michigan,MI,democratic,9995915,4,688,65,2124,1161,210,1593,13
2020-10-14,mnhealth,Minnesota Department of Health,Minnesota,MN,democratic,5611179,8,557,32,1232,512,131,1369,29
2020-10-14,ncdhhs,NC Department of Health and Human Services,North Carolina,NC,democratic,10383620,4,185,7,489,201,96,1926,40
2020-10-14,ndhealth,North Dakota Department of Health,North Dakota,ND,republican,760077,2,974,507,5276,2965,830,703,8
2020-10-14,nedhhs,Nebraska Department of Health and Human Services,Nebraska,NE,republican,1929268,3,9,0,14,0,5,924,3
2020-10-14,nhdepartmentofhealthandhumanservices,NH Department of Health and Human Services,New Hampshire,NH,republican,1356458,1,1,0,2,0,1,70,2
2020-10-14,nmdoh,New Mexico Department of Health,New Mexico,NM,democratic,2095428,8,915,58,1182,104,105,577,3
2020-10-14,nvhealthandhumanservices,Nevada Department of Health and Human Services,Nevada,NV,democratic,3034392,1,4,0,5,0,1,479,17
2020-10-14,nysdoh,NYSDOH - New York State Health Department,New York,NY,democratic,19542209,4,109,21,322,171,21,1098,10
2020-10-14,ohdeptofhealth,Ohio Department of Health,Ohio,OH,republican,11689442,2,404,8,542,59,71,2039,16
